tempo_s,gX,gY,gZ,angleX,angleY,angleZ,pitch,roll
10.6,0.38,0.02,0.89,22.39,1.19,63.38,-19.45,1.08
10.8,0.07,0.03,0.99,3.79,1.58,80.50,-2.70,1.12
11.0,-0.20,0.02,0.95,-11.44,0.90,72.60,8.95,0.71
11.2,-0.33,0.00,0.92,-19.26,0.21,67.11,16.02,0.18
11.4,-0.32,-0.01,0.98,-18.68,-0.37,78.74,13.35,-0.27
11.6,-0.21,0.02,1.04,-11.89,1.09,90.00,7.53,0.69
11.8,-0.08,0.04,0.91,-4.48,2.03,65.88,3.89,1.77
12.0,0.11,0.05,0.94,6.11,2.75,69.63,-5.01,2.26
12.2,0.14,0.00,0.94,8.03,0.27,69.77,-6.56,0.22
12.4,0.17,0.05,1.02,10.07,2.75,90.00,-6.38,1.75
12.6,0.10,-0.00,1.03,5.72,-0.09,90.00,-3.64,-0.06
12.8,0.08,-0.00,1.04,4.49,-0.07,90.00,-2.86,-0.05
13.0,0.04,0.03,0.99,2.32,1.49,82.82,-1.60,1.03
13.2,0.13,0.23,0.98,7.46,13.25,77.19,-5.44,9.74
13.4,0.28,0.43,0.92,16.32,25.44,67.31,-12.78,20.70
13.6,0.16,0.71,0.66,9.36,45.64,41.66,-8.61,47.61
13.8,0.10,0.62,0.71,5.59,38.35,45.01,-5.40,40.44
14.0,0.10,0.47,0.90,5.48,27.89,63.55,-4.52,23.70
14.2,0.05,0.15,1.00,3.05,8.65,86.73,-2.01,5.70
14.4,0.01,-0.08,1.02,0.55,-4.67,90.00,-0.35,-2.97
14.6,-0.07,-0.24,0.98,-4.14,-14.17,77.53,3.01,-10.36
14.8,-0.05,-0.47,0.85,-2.99,-28.13,58.57,2.63,-25.66
15.0,0.01,-0.42,0.91,0.68,-24.97,65.67,-0.56,-20.82
15.2,0.08,-0.04,0.98,4.49,-2.16,77.79,-3.30,-1.59
15.4,0.13,0.26,0.98,7.60,14.82,77.76,-5.48,10.79
15.6,0.12,0.61,0.84,7.17,37.85,57.26,-5.96,33.46
15.8,0.03,0.72,0.75,1.47,45.73,48.84,-1.26,43.12
16.0,-0.02,0.45,0.97,-1.01,26.69,74.94,0.73,19.60
16.2,-0.08,0.23,1.03,-4.47,13.54,90.00,2.81,8.55
16.4,-0.08,-0.20,0.84,-4.80,-11.69,57.59,4.67,-11.47
16.6,-0.08,-0.46,0.98,-4.70,-27.45,77.27,3.28,-19.55
16.8,-0.07,-0.63,0.73,-4.00,-39.02,46.48,3.77,-40.01
17.0,-0.08,-0.53,0.80,-4.47,-32.32,53.41,4.09,-31.18
17.2,-0.02,-0.09,0.98,-1.32,-5.45,79.46,0.95,-3.92
17.4,0.10,0.22,1.02,5.48,12.76,90.00,-3.45,8.07
17.6,0.01,0.55,0.75,0.75,33.11,48.42,-0.73,34.36
17.8,-0.05,0.73,0.61,-2.96,46.78,37.93,2.81,50.97
18.0,-0.04,0.41,0.83,-2.51,23.90,55.71,2.37,23.22
18.2,-0.04,0.03,1.01,-2.11,1.69,90.00,1.34,1.08
18.4,-0.02,-0.36,0.88,-0.91,-21.35,62.14,0.79,-18.96
18.6,0.01,-0.63,0.91,0.49,-38.76,65.12,-0.37,-30.76
18.8,0.04,-0.76,0.58,2.13,-49.74,35.39,-2.00,-54.57
19.0,0.02,-0.56,0.85,1.33,-34.19,57.95,-1.14,-30.54
19.2,0.01,-0.14,0.97,0.33,-8.16,75.87,-0.25,-6.14
19.4,0.04,0.15,0.95,2.40,8.65,72.25,-1.89,6.83
19.6,0.11,0.36,0.96,6.25,21.38,74.50,-4.61,16.01
19.8,0.08,0.58,0.76,4.41,35.55,49.15,-4.16,35.88
20.0,0.06,0.54,0.90,3.57,32.50,63.55,-2.87,27.08
20.2,0.04,0.15,0.97,2.07,8.76,75.09,-1.57,6.65
20.4,-0.01,-0.16,0.97,-0.72,-9.38,75.64,0.54,-7.07
20.6,0.00,-0.43,0.89,0.24,-25.67,62.70,-0.20,-22.26
20.8,0.02,-0.47,0.88,1.35,-28.15,61.52,-1.14,-24.58
21.0,0.02,-0.24,0.95,0.94,-14.08,72.27,-0.73,-11.02
21.2,-0.01,0.07,1.04,-0.55,3.83,90.00,0.35,2.43
21.4,-0.04,-0.06,0.99,-2.12,-3.33,80.57,1.51,-2.37
21.6,0.06,-0.02,0.99,3.41,-1.11,83.04,-2.35,-0.77
21.8,0.27,0.02,0.95,15.48,1.22,72.23,-12.09,0.97
22.0,0.50,0.01,0.88,29.82,0.75,61.66,-25.80,0.70
22.2,0.66,0.05,0.73,41.25,2.89,46.81,-41.34,3.53
22.4,0.79,0.12,0.63,52.33,7.02,39.28,-52.68,10.13
22.6,0.75,0.11,0.62,48.60,6.58,38.37,-51.30,9.73
22.8,0.81,0.12,0.56,53.67,7.12,33.90,-57.16,11.85
23.0,0.86,0.11,0.51,59.05,6.52,30.34,-62.28,12.13
23.2,0.81,0.14,0.57,54.20,8.26,34.59,-56.73,13.43
23.4,0.70,0.11,0.72,44.70,6.15,45.78,-44.06,7.65
23.6,0.56,0.11,0.85,33.99,6.37,58.14,-30.17,6.25
23.8,0.32,0.10,0.95,18.48,5.92,71.73,-14.40,4.72
24.0,0.03,0.11,1.00,1.52,6.09,87.58,-0.99,3.98
24.2,-0.23,0.11,0.94,-13.55,6.58,70.21,10.88,5.35
24.4,-0.46,0.02,0.85,-27.48,1.32,57.74,25.44,1.31
24.6,-0.61,-0.08,0.82,-37.72,-4.57,55.28,34.22,-4.73
24.8,-0.73,-0.09,0.67,-46.70,-4.97,42.13,47.75,-6.73
25.0,-0.84,-0.04,0.50,-57.41,-2.34,29.86,62.45,-4.48
25.2,-0.83,-0.05,0.54,-56.29,-2.72,32.90,59.61,-4.73
25.4,-0.74,-0.05,0.66,-47.46,-2.92,41.59,48.70,-4.02
25.6,-0.62,-0.06,0.82,-38.28,-3.59,55.51,34.53,-3.70
25.8,-0.47,-0.05,0.82,-27.86,-2.71,55.14,26.78,-2.82
26.0,-0.30,0.03,0.96,-17.52,1.91,74.23,13.28,1.47
26.2,-0.13,0.32,1.02,-7.37,18.90,90.00,4.58,11.86
26.4,-0.12,0.56,0.80,-7.13,34.13,53.14,6.44,32.71
26.6,-0.10,0.86,0.57,-5.50,59.24,34.65,4.58,59.68
26.8,-0.16,0.90,0.31,-9.03,64.70,18.25,7.65,74.25
27.0,-0.13,0.91,0.30,-7.66,65.39,17.40,6.46,75.10
27.2,-0.13,0.86,0.55,-7.72,58.93,33.28,6.51,60.55
27.4,-0.17,0.53,0.82,-9.99,32.28,54.71,8.94,30.54
27.6,-0.12,0.27,1.00,-7.08,15.57,87.27,4.57,10.12
27.8,-0.11,-0.00,1.06,-6.14,-0.06,90.00,3.90,-0.04
28.0,-0.13,-0.13,0.99,-7.64,-7.62,83.10,5.23,-5.24
28.2,-0.14,-0.22,0.96,-7.99,-12.90,73.82,6.09,-9.91
28.4,-0.08,-0.50,0.79,-4.47,-30.16,52.08,4.25,-30.08
28.6,0.02,-0.95,0.57,1.13,-72.52,34.88,-0.80,-64.32
28.8,0.01,-0.95,0.15,0.78,-71.31,8.46,-0.62,-83.24
29.0,0.02,-0.98,0.21,0.90,-78.88,12.19,-0.65,-81.22
29.2,0.03,-0.84,0.52,1.49,-56.93,31.59,-1.32,-60.97
29.4,0.03,-0.58,0.80,1.95,-35.74,52.85,-1.75,-34.07
29.6,-0.01,-0.25,0.96,-0.72,-14.73,73.95,0.55,-11.26
29.8,0.00,-0.07,1.01,0.23,-3.77,90.00,-0.14,-2.40
30.0,-0.01,-0.05,1.04,-0.36,-3.10,90.00,0.23,-1.97
30.2,-0.08,-0.13,0.95,-4.67,-7.33,72.19,3.68,-5.80
30.4,0.03,-0.09,1.01,1.63,-5.05,90.00,-1.03,-3.21
30.6,0.04,-0.15,1.03,2.42,-8.39,90.00,-1.53,-5.33
30.8,-0.01,-0.05,0.98,-0.56,-2.69,78.86,0.41,-1.96
31.0,0.03,-0.06,1.09,1.74,-3.42,90.00,-1.11,-2.18
31.2,-0.08,-0.11,0.88,-4.52,-6.44,61.27,4.20,-6.00
31.4,0.10,-0.05,1.10,5.72,-2.80,90.00,-3.64,-1.78
31.6,-0.01,-0.07,0.96,-0.86,-4.12,74.48,0.66,-3.16
31.8,-0.04,-0.07,0.94,-2.25,-4.17,70.15,1.83,-3.40
32.0,0.07,-0.06,1.11,3.99,-3.35,90.00,-2.54,-2.13
32.2,-0.12,-0.10,0.85,-6.98,-5.56,58.53,6.77,-5.43
32.4,0.10,-0.03,1.18,5.56,-1.74,90.00,-3.54,-1.11
32.6,-0.08,-0.08,0.84,-4.73,-4.82,56.88,4.73,-4.84
32.8,0.04,-0.06,1.03,2.46,-3.42,90.00,-1.56,-2.18
33.0,0.01,-0.07,0.99,0.80,-3.83,80.89,-0.57,-2.71
33.2,-0.07,-0.07,0.89,-4.09,-3.84,63.23,3.70,-3.48
33.4,0.16,-0.05,1.18,9.17,-2.92,90.00,-5.82,-1.86
33.6,-0.10,-0.11,0.78,-5.50,-6.50,51.24,6.08,-7.22
33.8,0.18,-0.08,1.24,10.59,-4.36,90.00,-6.71,-2.78
34.0,-0.10,-0.16,0.71,-5.47,-9.04,45.26,6.76,-11.30
34.2,0.51,0.01,1.08,30.92,0.46,90.00,-18.96,0.29
34.4,0.49,-0.11,0.99,29.42,-6.38,81.11,-19.88,-4.50
34.6,-0.01,-0.13,0.79,-0.32,-7.51,51.75,0.35,-8.26
34.8,0.14,-0.06,1.14,7.86,-3.66,90.00,-4.99,-2.33
35.0,-0.07,-0.09,0.85,-3.92,-5.39,58.70,3.81,-5.24
35.2,0.10,-0.07,1.04,5.68,-4.29,90.00,-3.60,-2.73
35.4,-0.01,-0.09,1.03,-0.35,-5.30,90.00,0.22,-3.37
35.6,-0.10,-0.09,0.80,-5.71,-5.14,53.19,6.10,-5.52
35.8,0.24,0.01,1.34,13.66,0.35,90.00,-8.63,0.23
36.0,-0.21,-0.07,0.80,-11.87,-4.22,53.24,12.53,-4.54
36.2,-0.45,-0.18,0.76,-27.06,-10.15,49.34,28.24,-11.62
36.4,-0.20,-0.08,0.89,-11.38,-4.80,62.27,10.32,-4.41
36.6,0.15,0.02,1.25,8.71,1.08,90.00,-5.53,0.69
36.8,-0.19,0.16,0.78,-10.74,8.92,51.08,11.70,9.91
37.0,-0.17,0.31,0.90,-9.64,18.20,63.54,8.30,15.99
37.2,0.04,0.59,0.93,2.16,36.43,69.10,-1.58,27.80
37.4,-0.18,0.27,0.80,-10.66,15.92,53.14,10.88,16.68
37.6,-0.09,-0.64,0.84,-5.15,-39.52,56.64,4.27,-34.91
37.8,0.02,-0.63,0.87,0.91,-38.82,60.48,-0.73,-32.70
38.0,0.00,0.22,0.97,0.04,12.60,76.13,-0.03,9.40
38.2,0.06,0.65,0.90,3.64,40.24,63.54,-2.77,32.35
38.4,-0.14,0.17,1.06,-8.14,9.89,90.00,5.14,6.27
38.6,-0.21,-0.19,0.80,-11.94,-10.88,53.07,12.43,-11.58
38.8,0.12,0.10,1.15,7.02,5.52,90.00,-4.45,3.51
39.0,0.09,0.00,1.12,5.19,0.13,90.00,-3.30,0.08
39.2,-0.33,-0.08,0.66,-19.48,-4.87,41.29,25.11,-6.73
39.4,0.00,0.06,1.04,0.15,3.44,90.00,-0.10,2.19
39.6,0.25,0.64,0.93,14.75,39.59,69.11,-10.49,29.81
39.8,0.02,0.38,0.90,1.17,22.16,63.88,-0.99,19.13
40.0,-0.27,0.04,0.89,-15.58,2.43,62.28,14.03,2.23
40.2,-0.18,-0.43,0.82,-10.31,-25.57,55.32,9.61,-24.80
40.4,0.09,-0.40,0.98,5.15,-23.41,78.97,-3.57,-16.51
40.6,0.23,0.26,0.98,13.39,15.28,78.92,-9.46,10.95
40.8,0.17,0.70,0.73,9.73,44.13,46.85,-8.60,43.29
41.0,-0.07,0.57,0.85,-4.13,34.81,58.30,3.48,30.84
41.2,-0.29,0.22,0.93,-16.74,12.54,67.73,13.66,10.49
41.4,-0.29,-0.12,0.78,-17.10,-6.66,51.11,18.35,-7.43
41.6,-0.10,-0.25,0.87,-5.82,-14.19,60.97,5.32,-13.10
41.8,0.25,-0.08,1.04,14.53,-4.71,90.00,-9.16,-2.99
42.0,0.36,0.28,0.93,21.02,16.03,67.80,-16.79,13.31
42.2,0.17,0.56,0.82,9.65,33.76,55.08,-8.50,31.50
42.4,-0.05,0.30,0.95,-3.03,17.60,70.99,2.37,13.92
42.6,-0.11,-0.15,0.97,-6.55,-8.46,76.99,4.84,-6.27
42.8,-0.09,-0.17,0.88,-5.37,-9.81,62.14,4.88,-8.97
43.0,0.18,0.14,1.01,10.23,7.85,90.00,-6.46,4.99
43.2,0.36,0.26,1.06,21.03,15.00,90.00,-12.98,9.46
43.4,0.05,-0.01,1.00,2.98,-0.50,90.00,-1.90,-0.32
43.6,-0.13,-0.25,0.88,-7.20,-14.66,62.04,6.44,-13.30
43.8,0.02,-0.10,1.01,1.17,-5.84,90.00,-0.74,-3.71
44.0,0.27,0.44,1.03,15.48,26.03,90.00,-9.38,16.13
44.2,0.10,0.25,0.99,5.92,14.18,83.37,-4.00,9.65
44.4,-0.11,-0.12,0.91,-6.31,-6.91,65.06,5.51,-6.06
44.6,-0.03,-0.06,0.97,-1.58,-3.70,76.23,1.19,-2.78
44.8,0.17,0.46,0.92,9.69,27.59,67.06,-7.61,22.36
45.0,0.19,0.64,0.77,10.84,39.45,50.73,-9.58,37.87
45.2,0.05,0.28,0.93,2.91,16.07,69.12,-2.34,13.09
45.4,-0.07,-0.04,0.98,-4.24,-2.21,77.21,3.15,-1.64
45.6,-0.12,-0.14,0.92,-7.09,-8.32,67.65,5.94,-7.01
45.8,-0.06,0.03,1.02,-3.40,1.63,90.00,2.17,1.04
46.0,-0.02,0.07,1.02,-1.12,4.07,90.00,0.71,2.59
46.2,-0.01,0.07,1.01,-0.44,4.18,90.00,0.28,2.66
46.4,-0.01,0.06,1.00,-0.34,3.62,87.50,0.22,2.37
46.6,-0.00,0.06,1.00,-0.22,3.33,86.44,0.14,2.21
46.8,-0.01,0.06,1.01,-0.39,3.54,90.00,0.25,2.25
47.0,-0.03,0.03,1.04,-1.69,1.85,90.00,1.08,1.18
47.2,-0.13,-0.11,0.98,-7.71,-6.15,78.49,5.59,-4.48
47.4,-0.26,-0.13,0.93,-14.83,-7.54,69.14,12.04,-6.22
47.6,-0.27,-0.08,0.96,-15.46,-4.82,73.06,11.92,-3.77
47.8,-0.22,0.15,0.94,-12.47,8.85,70.41,9.97,7.16
48.0,-0.09,0.43,0.92,-5.40,25.26,67.49,4.28,20.52
48.2,0.00,0.61,0.86,0.11,37.93,59.66,-0.09,32.44
48.4,0.01,0.28,0.96,0.45,16.55,72.79,-0.35,12.81
48.6,-0.01,-0.13,0.97,-0.68,-7.41,75.21,0.52,-5.62
48.8,-0.04,-0.29,0.89,-2.25,-17.07,63.44,1.96,-15.06
49.0,0.05,0.07,0.99,3.12,4.23,80.52,-2.21,3.01
49.2,0.21,0.24,1.13,12.04,14.01,90.00,-7.53,8.85
49.4,-0.03,-0.01,0.91,-1.94,-0.29,64.90,1.71,-0.26
49.6,-0.09,0.00,0.95,-5.16,0.07,72.30,4.08,0.06
49.8,0.25,0.24,1.21,14.55,14.06,90.00,-9.08,8.88
50.0,-0.04,-0.06,0.88,-2.45,-3.26,61.57,2.27,-3.03
50.2,0.04,0.09,0.99,2.38,5.01,80.63,-1.69,3.56
50.4,0.16,0.14,1.08,8.99,8.02,90.00,-5.68,5.09
50.6,-0.10,-0.11,0.80,-5.79,-6.41,53.32,6.15,-6.85
50.8,0.21,0.20,1.10,12.18,11.49,90.00,-7.65,7.28
51.0,0.28,0.69,0.72,16.25,43.31,46.07,-14.41,43.23
51.2,0.08,0.74,0.66,4.33,47.95,40.97,-3.93,49.49
51.4,-0.10,0.34,0.93,-5.59,19.59,68.16,4.50,16.04
51.6,-0.15,-0.11,0.95,-8.35,-6.58,71.99,6.59,-5.22
51.8,0.01,-0.49,0.76,0.39,-29.34,49.06,-0.39,-30.88
52.0,0.11,-0.63,0.80,6.50,-39.12,53.18,-5.62,-36.34
52.2,0.17,-0.09,0.97,10.07,-4.90,76.43,-7.49,-3.67
52.4,0.12,0.64,0.80,6.81,39.80,53.51,-5.83,36.64
52.6,-0.00,0.90,0.47,-0.13,64.77,27.88,0.10,66.72
52.8,-0.22,0.59,0.76,-12.87,35.97,49.85,11.82,35.82
53.0,-0.18,-0.02,0.85,-10.26,-1.19,58.44,9.95,-1.17
53.2,0.07,-0.40,1.09,4.11,-23.66,90.00,-2.53,-14.73
53.4,0.12,-0.26,0.89,6.64,-15.15,63.47,-5.81,-13.42
53.6,0.06,0.47,0.87,3.53,28.30,60.59,-3.02,25.03
53.8,-0.06,0.30,0.88,-3.17,17.50,61.73,2.82,15.83
54.0,-0.03,0.15,0.99,-1.92,8.53,80.63,1.36,6.04
54.2,0.01,0.15,1.01,0.54,8.54,90.00,-0.34,5.42
54.4,0.05,0.15,0.98,2.89,8.49,78.45,-2.10,6.18
54.6,0.08,0.05,1.02,4.32,2.73,90.00,-2.75,1.74
54.8,0.07,0.06,1.00,4.10,3.29,90.00,-2.61,2.09
55.0,0.06,0.02,0.99,3.60,1.13,82.41,-2.50,0.79
55.2,0.03,0.03,1.00,1.56,1.96,87.20,-1.03,1.29
55.4,0.01,0.03,1.00,0.48,1.45,85.28,-0.32,0.98
55.6,0.02,0.02,1.00,1.28,1.26,90.00,-0.82,0.80
55.8,0.03,0.01,1.00,1.65,0.61,90.00,-1.05,0.39
56.0,0.03,0.01,1.00,1.58,0.77,90.00,-1.00,0.49
56.2,0.03,0.01,1.00,1.64,0.84,90.00,-1.04,0.54
56.4,0.03,0.01,1.00,1.57,0.80,90.00,-1.00,0.51
56.6,0.03,0.01,1.00,1.64,0.84,90.00,-1.04,0.53
56.8,0.03,0.02,1.00,1.60,0.88,90.00,-1.02,0.56
57.0,0.03,0.01,1.00,1.58,0.81,90.00,-1.00,0.52
57.2,0.03,0.01,1.00,1.66,0.83,90.00,-1.05,0.53
57.4,0.03,0.01,1.00,1.65,0.77,90.00,-1.05,0.49
57.6,0.03,0.01,1.00,1.58,0.78,90.00,-1.00,0.50
57.8,0.03,0.01,1.00,1.70,0.74,90.00,-1.08,0.47
58.0,0.03,0.01,1.00,1.59,0.75,90.00,-1.01,0.48
58.2,0.03,0.01,1.00,1.72,0.82,90.00,-1.09,0.52
58.4,0.03,0.02,1.00,1.63,0.86,90.00,-1.04,0.55
58.6,0.03,0.01,1.00,1.67,0.79,90.00,-1.07,0.50
58.8,0.03,0.01,1.00,1.55,0.76,90.00,-0.99,0.48
59.0,0.03,0.01,1.00,1.58,0.77,90.00,-1.00,0.49
59.2,0.03,0.01,1.00,1.57,0.85,90.00,-1.00,0.54
59.4,0.03,0.01,1.00,1.65,0.75,90.00,-1.05,0.48
59.6,0.03,0.01,1.00,1.65,0.79,90.00,-1.05,0.50
59.8,0.03,0.01,1.00,1.63,0.81,90.00,-1.04,0.51
